State,Sex,Age,Color,Years_of_study,Income,Height
Rondônia,Male,23,Brown,11,800,1.6
Rondônia,Female,23,White,11,1150,1.74
Rondônia,Female,35,Brown,14,880,1.76
Rondônia,Male,46,White,5,3500,1.78
Rondônia,Female,47,Brown,8,150,1.69
Rondônia,Female,34,Brown,11,790,1.64
Rondônia,Male,57,Brown,11,3150,1.57
Rondônia,Female,60,Brown,11,1700,1.61
Rondônia,Female,50,Black,13,1800,1.78
Rondônia,Male,26,Brown,11,1150,1.79
Rondônia,Female,46,Brown,11,3000,1.79
Rondônia,Female,49,Brown,5,2500,1.71
Rondônia,Female,52,White,5,1200,1.74
Rondônia,Male,38,Brown,11,2000,1.75
Rondônia,Male,45,White,11,2000,1.78
Rondônia,Male,34,White,15,6000,1.71
Rondônia,Female,43,Brown,9,1050,1.79
Rondônia,Male,53,Brown,15,7000,1.67
Rondônia,Male,57,White,11,2000,1.72
Rondônia,Female,62,Brown,11,1150,1.77
Rondônia,Male,69,Brown,0,3030,1.75
Rondônia,Female,41,Brown,15,4000,1.66
Rondônia,Male,34,Brown,4,788,1.75
Rondônia,Male,25,Brown,11,1000,1.73
Rondônia,Male,33,Brown,8,800,1.78
Rondônia,Female,44,Brown,4,788,1.67
Rondônia,Male,33,White,15,1600,1.78
Rondônia,Male,65,White,11,1700,1.87
Rondônia,Male,33,Brown,13,2000,1.89
Rondônia,Male,32,Brown,11,2400,1.66
Rondônia,Male,43,Brown,4,3000,1.64
Rondônia,Male,30,Brown,0,920,1.69
Rondônia,Male,26,White,9,1300,1.68
Rondônia,Male,52,White,14,2000,1.67
Rondônia,Male,62,Brown,0,1300,1.63
Rondônia,Male,64,Yellow,4,600,1.71
Rondônia,Male,31,Brown,6,1200,1.76
Rondônia,Male,63,White,2,1000,1.69
Rondônia,Female,40,White,8,1000,1.71
Rondônia,Male,47,Black,8,1500,1.67
Rondônia,Male,34,White,6,900,1.65
Rondônia,Male,33,Brown,5,900,1.81
Rondônia,Male,63,Brown,5,0,1.65
Rondônia,Female,40,Brown,1,300,1.76
Rondônia,Male,41,Brown,5,1600,1.61
Rondônia,Male,28,White,9,1500,1.69
Rondônia,Female,32,Brown,11,750,1.68
Rondônia,Male,44,White,0,800,1.7
Rondônia,Female,38,White,11,3600,1.6
Rondônia,Male,41,White,3,1500,1.65
Rondônia,Male,62,Brown,7,3000,1.75
Rondônia,Male,37,Brown,6,2300,1.58
Rondônia,Male,41,White,11,1500,1.7
Rondônia,Male,41,Brown,11,4500,1.57
Rondônia,Female,46,White,15,4800,1.73
Rondônia,Female,46,Brown,11,900,1.66
Rondônia,Female,45,White,6,400,1.45
Rondônia,Male,60,Brown,1,1050,1.75
Rondônia,Female,38,Brown,6,850,1.6
Rondônia,Female,32,Brown,11,650,1.62
Rondônia,Female,39,Brown,5,300,1.52
Rondônia,Female,49,Brown,4,900,1.68
Rondônia,Female,34,White,10,1000,1.77
Rondônia,Female,38,Brown,7,970,1.8
Rondônia,Female,36,Black,11,1000,1.7
Rondônia,Female,45,White,6,600,1.67
Rondônia,Male,49,Black,9,1000,1.81
Rondônia,Female,44,Black,9,800,1.74
Rondônia,Male,73,Brown,0,0,1.8
Rondônia,Male,56,White,5,200,1.49
Rondônia,Male,33,Brown,3,1400,1.67
Rondônia,Male,27,White,11,2500,1.83
Rondônia,Male,49,White,3,3000,1.77
Rondônia,Male,57,Brown,1,1100,1.71
Rondônia,Male,41,Brown,0,2000,1.71
Rondônia,Male,39,White,10,1400,1.83
Rondônia,Male,23,Brown,4,788,1.71
Rondônia,Male,39,Brown,8,1400,1.79
Rondônia,Male,35,Black,3,1000,1.65
Rondônia,Male,30,Brown,3,600,1.75
Rondônia,Male,35,Brown,3,788,1.77
Rondônia,Male,36,White,3,500,1.72
Rondônia,Male,37,Brown,3,1500,1.71
Rondônia,Male,60,Black,0,1400,1.65
Rondônia,Male,38,White,8,600,1.73
Rondônia,Male,43,White,8,800,1.77
Rondônia,Male,42,White,8,1200,1.74
Rondônia,Male,51,White,8,2500,1.77
Rondônia,Female,33,Brown,11,1200,1.76
Rondônia,Male,46,White,0,2000,1.71
Rondônia,Female,29,Black,14,1300,1.75
Rondônia,Male,40,Brown,8,800,1.59
Rondônia,Female,46,Brown,0,550,1.59
Rondônia,Male,25,White,5,975,1.86
Rondônia,Male,32,Brown,4,1500,1.79
Rondônia,Male,40,White,11,1200,1.67
Rondônia,Male,26,Black,8,1145,1.72
Rondônia,Female,49,Brown,0,1200,1.63
Rondônia,Male,37,Brown,8,1500,1.7
Rondônia,Male,24,Black,11,1200,1.54
Rondônia,Female,40,Brown,8,850,1.78
Rondônia,Male,39,Brown,9,1200,1.68
Rondônia,Male,39,Brown,10,900,1.77
Rondônia,Male,41,Brown,1,1200,1.67
Rondônia,Male,36,Brown,8,2500,1.66
Rondônia,Female,37,Brown,10,400,1.72
Rondônia,Male,28,Black,11,1100,1.73
Rondônia,Male,32,White,11,1200,1.65
Rondônia,Male,24,Black,11,2500,1.62
Rondônia,Male,39,White,13,4000,1.51
Rondônia,Male,33,White,15,2500,1.62
Rondônia,Female,49,Brown,5,788,1.7
Rondônia,Male,37,White,11,2000,1.57
Rondônia,Male,35,Black,11,788,1.57
Rondônia,Female,55,Brown,8,380,1.89
Rondônia,Male,24,Brown,11,836,1.67
Rondônia,Male,34,Brown,14,1250,1.71
Rondônia,Male,27,White,11,1325,1.61
Rondônia,Male,50,White,7,1550,1.79
Rondônia,Male,53,Yellow,7,1800,1.61
Rondônia,Male,67,Black,0,1500,1.76
Rondônia,Male,52,White,11,20000,1.64
Rondônia,Male,42,Brown,4,3000,1.74
Rondônia,Female,66,White,0,1600,1.83
Rondônia,Male,47,White,3,788,1.74
Rondônia,Male,60,Brown,8,1400,1.72
Rondônia,Male,29,White,10,580,1.68
Rondônia,Male,55,White,4,1500,1.73
Rondônia,Male,55,White,4,1000,1.77
Rondônia,Male,56,White,4,100,1.73
Rondônia,Male,69,White,8,0,1.61
Rondônia,Male,51,White,3,1000,1.62
Rondônia,Female,25,Brown,11,390,1.63
Rondônia,Male,49,Brown,2,788,1.73
Rondônia,Male,61,Black,3,1800,1.54
Rondônia,Female,54,Brown,0,400,1.74
Rondônia,Male,37,Brown,6,1500,1.65
Rondônia,Male,39,White,8,2000,1.67
Rondônia,Male,52,White,4,350,1.78
Rondônia,Male,48,White,1,1600,1.72
Rondônia,Male,40,Brown,7,1600,1.51
Rondônia,Male,73,White,0,1000,1.55
Rondônia,Male,49,White,2,788,1.72
Rondônia,Male,45,Brown,15,3000,1.74
Rondônia,Male,80,White,4,2000,1.67
Rondônia,Male,45,Brown,11,10000,1.75
Rondônia,Female,34,Black,15,900,1.78
Rondônia,Male,65,White,6,6000,1.84
Rondônia,Female,23,White,14,1600,1.73
Rondônia,Male,52,White,11,1300,1.72
Rondônia,Female,32,Brown,11,1400,1.56
Rondônia,Female,36,Brown,11,1400,1.73
Rondônia,Male,28,White,15,3500,1.59
Rondônia,Male,48,White,11,2500,1.64
Rondônia,Male,36,Brown,11,1700,1.65
Rondônia,Male,48,White,8,4500,1.73
Rondônia,Female,42,White,11,1700,1.63
Rondônia,Female,46,White,11,4124,1.72
Rondônia,Female,51,Brown,11,1500,1.59
Rondônia,Male,26,Brown,11,1200,1.73
Rondônia,Male,25,Brown,12,1000,1.87
Rondônia,Male,27,Brown,11,1200,1.76
Rondônia,Male,28,Brown,11,1600,1.58
Rondônia,Female,37,Brown,10,950,1.71
Rondônia,Male,26,Brown,10,1500,1.67
